Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
Spain,2000,16.0217993612102,104.224510192871,75.6,14743.2671031455,34.256372745491,2991.49306471374,28.5889225704133,16.947181780922,28.2857142857143,81.2983246492986,87.04
Estonia,2000,11.8151297405178,104.32495880127,65.1,4070.60902410208,52.8164661476763,3377.645508595,61.6273943170743,0.214965347116175,17.8217821782178,32.9555319650861,80.92
Ethiopia,2000,27.3299911491215,52.2387313842773,50.191,122.269202606069,18.5285,363.603550531224,,,7.69230769230769,67.411494,52.06
European Union,2000,19.6436231432454,103.283111572266,73.8101100585979,16976.0452668705,37.985952934008,3426.83308666772,35.5948367103463,16.3960010155435,19.5739227935288,107.43763087465,100.0
Fragile and conflict affected situations,2000,42.7280542419973,75.1186218261719,53.5992356050557,751.801263034453,27.5105207245986,704.2730991504,40.0714470049603,28.3464128084568,8.21198376700883,34.8726391525287,82.8190052868057
Finland,2000,8.00512199497353,99.7170867919922,74.1,24335.9225082659,73.6913227617453,6257.21912070832,42.0483040781312,33.4094260889448,36.5,16.9940214714863,94.74
Fiji,2000,13.1254459525217,100.265716552734,63.985,1995.72071163264,55.0886699507389,,,76.1439413066401,,46.0267651888342,91.19
France,2000,16.0892961813444,100.428260803223,75.3,22340.5939516217,28.3662677428333,4130.17270058081,29.7580489893129,13.7368998099838,10.9185441941075,113.032119862696,103.28
Faroe Islands,2000,,,75.7,23322.7593357515,0.0573065902578797,,51.3355592654424,35.3587528174305,,32.7750716332378,48.29
"Micronesia, Fed. Sts.",2000,13.1776879259206,,61.357,2049.3453246655,91.2285714285714,,18.2913407473755,4.18293363078639,0.0,160.062857142857,94.07
Gabon,2000,28.0134232039907,,60.416,3982.906200928,91.9781115380137,1153.06155311667,69.0321767086082,89.1855513307985,9.16666666666667,4.950409438429,83.68
United Kingdom,2000,16.1050537226586,100.591789245605,75.4,28383.8761094996,12.2101434299177,3786.40281086309,25.5563430576261,3.35853650127696,18.361153262519,243.427908899268,93.85
Georgia,2000,15.6475442783829,107.290756225586,65.902,749.908534993961,39.7265793639373,703.790688330461,22.9944664162433,79.2200969827586,7.23404255319149,71.3308898141992,132.35
Ghana,2000,63.1064681783884,79.9403762817383,56.93,253.746936203344,38.8881515337963,322.127334642966,48.8022576190038,91.7001246019659,,86.301692010196,59.86
Gibraltar,2000,,105.813949584961,78.506,,0.0,4613.31422552377,,0.0,,2770.9,
Guinea,2000,46.528445919947,58.3812294006348,51.865,518.157066924026,28.1987628194693,,16.8193583183757,55.9693318729463,8.7719298245614,34.3025883118997,44.22
"Gambia, The",2000,60.9950805242182,70.9850234985352,54.919,538.054072348854,35.3092885375494,,25.7986743189831,0.0,2.04081632653061,143.783003952569,74.73
Guinea-Bissau,2000,55.3089810391368,75.5002975463867,48.374,316.945495037639,76.4182076813656,,13.0927844637276,0.0,7.84313725490196,43.9097083926031,69.17
Equatorial Guinea,2000,36.2092084679716,81.5698776245117,52.003,1487.3165506701,93.2470588235294,342.94581014711,,10.2941176470588,5.0,25.0723351158645,99.49
Greece,2000,24.3887788903302,102.308349609375,75.4,11638.2010697215,27.93040806827,2512.02003858494,24.0112579525333,8.4727819772301,8.66666666666667,83.83093871218,109.97
Grenada,2000,24.0288265178508,94.5418395996094,70.282,4839.82811114248,52.0588235294118,,,0.0,26.6666666666667,316.032352941176,76.13
Greenland,2000,6.91646236821714,,63.46,19009.0774407515,0.0005359970763795,,,94.376491646778,,0.136886344256304,
Guatemala,2000,37.474592031175,98.8193283081055,64.012,1648.96578971559,39.2795819335573,615.959274265347,20.1950343956927,58.6068121693122,8.84955752212389,109.160059723778,40.32
Guam,2000,9.206100072832,,72.183,,44.4444444444444,,,0.0,,296.416666666667,
Guyana,2000,28.0653087700277,98.2578506469727,61.016,931.796651718955,94.3064262128524,,96.0799732120736,4.45132572092123,18.4615384615385,3.88535433070866,51.44
High income,2000,17.9442345255167,103.074127197266,72.764674577145,22374.3254750161,35.5916053725076,4879.53248345703,23.2279929826864,15.7936158313034,17.7052524222336,24.1535701358984,97.4697269130353
"Hong Kong SAR, China",2000,,,78.0,25756.7728723704,,2121.26333389026,126.031457172742,0.0,,6347.61904761905,101.82
Honduras,2000,31.2179492340652,103.204963684082,66.227,1092.56400746252,60.5797658414514,456.244812117242,53.972182998888,62.2774740295243,9.375,58.7878541424613,70.14
Heavily indebted poor countries (HIPC),2000,39.4582693858888,70.7973480224609,51.6731182465321,377.459385908018,32.477021401215,352.438705088556,19.9990130375695,73.3685230418209,,27.7366075449133,82.7560121773767
Croatia,2000,22.6073432457522,,69.12,4953.65158789022,33.7136929460581,1882.60707106679,35.0895248860295,57.3725733534261,20.5298013245033,79.9166905136643,61.82
Haiti,2000,20.2385408971379,,56.476,820.600046761464,13.8116835994194,367.668711281342,7.35798043194839,51.7367458866545,,301.275435413643,89.13
Hungary,2000,20.6558178895561,101.967720031738,67.1,4629.91760812548,21.4368444543629,2448.35399628198,66.7818415655251,0.690517461851041,8.29015544041451,113.936297701406,124.25
IBRD only,2000,44.0508525845991,106.667297363281,65.893070258249,1477.69257780304,34.4012444513487,986.636770330863,25.8506328311278,23.8924853131762,12.7547434996486,56.3605166988903,100.0
IDA & IBRD total,2000,44.3569201287216,98.6820678710938,63.5255608681503,1251.80798458527,33.5672025199487,860.178492978524,25.4723753720581,24.9560645599066,11.4328344290577,54.8324038258068,84.4797423180838
IDA total,2000,45.4343108125568,79.6313018798828,55.140361981441,458.298938832863,30.9635322905239,371.079065033317,23.914255525824,43.4336537036456,,50.0620177755881,82.9072058078638
IDA blend,2000,53.9514279619724,81.8791885375977,54.6344263529728,619.821306002405,32.5085715793012,468.45325312048,,29.592116519442,,80.4600939070839,100.0
Indonesia,2000,26.2052017856205,108.993591308594,64.61,763.711124950924,53.943528667353,585.786495774263,40.9773084738704,21.0016394320922,8.0,115.08687262286,52.09
IDA only,2000,40.8824188299926,78.0762481689453,55.4140884588392,372.859415968736,30.5369417109873,312.713225553453,24.38451221809,57.5109315435262,9.63237893248498,41.6690060198843,82.7892841912182
Isle of Man,2000,,,72.375,21161.3963073772,6.07017543859649,,,,,132.735087719298,
India,2000,61.511449777005,98.808967590332,61.76,442.750218937263,22.7334950003195,394.916803104241,12.9972363113479,14.0401258332442,9.00735294117647,355.82076254797,49.8
Not classified,2000,,,,,,,,,,,
Ireland,2000,12.5487773722991,102.282279968262,74.0,26334.5672050501,9.15023951226593,3627.38542635217,94.3894347338897,6.21299307814194,12.0481927710843,55.2355058789374,92.07
"Iran, Islamic Rep.",2000,36.4770997798349,97.7706298828125,67.839,1650.01385833785,5.72561948967313,1852.22331549631,21.4670575678483,3.0371139286391,3.44827586206897,40.778665365063,73.28
Iraq,2000,42.0322556879507,89.9259414672852,62.275,1980.18916038782,1.87027002309258,1090.52205809652,75.7037742203896,1.9153605015674,7.6,55.8430070649564,106.89
Iceland,2000,7.40415684416645,99.1379928588867,77.8,32503.578963236,0.297556109725686,11404.9435876155,31.7273810393269,99.934929724102,34.9206349206349,2.80503740648379,79.61
Israel,2000,25.3125485744393,98.2204437255859,77.1,21706.5194056329,7.07024029574861,2899.21092060716,33.7710777307984,0.0726659009399686,12.5,290.619223659889,66.95
Italy,2000,26.2472831488489,102.28849029541,76.9,20190.0035636084,28.3014561169763,3012.48356350836,25.5611956255751,20.8138489956297,11.1111111111111,192.555434569421,114.38
Jamaica,2000,15.7509748541016,92.0542831420898,69.474,3453.09252800226,48.1071098799631,1339.1099922275,,1.71404783530124,13.3333333333333,240.79649122807,85.23
